cirID,s_topic,s_temporal,s_author
0,0.045530101881100224,0.4679579455839282,
1,0.017344614499709612,0.44700591579376625,
2,0.01951269131217331,0.3352544368453247,
3,0.01951269131217331,0.3352544368453247,
4,0.01951269131217331,0.3352544368453247,
5,0.01951269131217331,0.3352544368453247,
6,0.052034332318491326,0.0,
7,0.04336186212884903,0.0,
8,0.052034332318491326,0.0,
9,0.04336186212884903,0.0,
10,0.026016921749564416,0.0,
11,0.026016921749564416,0.0,
12,0.1821204075244009,0.0,
13,0.13008591226612207,0.0,
14,0.1734481002745461,0.0,
15,0.11057313948405502,0.0,
16,0.13008607520590956,0.0,
17,0.13008607520590956,0.0,
18,0.10406866463698267,0.0,
19,0.11057313948405502,0.0,
20,0.13008591226612207,0.0,
21,0.10406866463698267,0.0,
22,0.06937910975798843,0.1734483357988555,
23,0.09106020376220045,0.13008625184914163,
24,0.05853856275588243,0.13008625184914163,
25,0.09106020376220045,0.26017250369828326,
26,0.1821208963437634,0.0,
27,0.10406899051655766,0.0,
28,0.08455597332480935,0.0,
29,0.08455597332480935,0.0,
30,0.07805174288741826,0.0,
31,0.09539668326670286,0.0,
32,0.12141393089584226,0.0,
33,0.07805174288741824,0.0,
34,0.07154726804034589,0.0,
35,0.07154726804034589,0.0,
36,0.07154726804034589,0.0,
37,0.12141393089584226,0.0,
38,0.07805174288741824,0.0,
39,0.07154726804034589,0.0,
40,0.0975646786092728,0.0,
41,0.07154726804034589,0.0,
42,0.07154726804034589,0.0,
43,0.07805174288741824,0.0,
44,0.08672405013727305,0.0,
45,0.07154726804034589,0.0,
46,0.07154726804034589,0.0,
47,0.07805174288741826,0.0,
48,0.09539668326670286,0.0,
49,0.07805174288741826,0.0,
50,0.07805174288741824,0.0,
51,0.06504303760295478,0.0,
52,0.0975646786092728,0.0,
53,0.06504303760295478,0.0,
54,0.09106020376220045,0.0,
55,0.05853856275588243,0.0,
56,0.06937910975798843,0.0,
57,0.11274129776641248,0.0,
58,0.07154726804034589,0.0,
59,0.06504303760295478,0.0,
60,0.08455597332480935,0.0,
61,0.08455597332480935,0.0,
62,0.06504303760295478,0.0,
63,0.05853856275588243,0.0,
64,0.06937910975798843,0.0,
65,0.05853856275588243,0.0,
66,0.06937910975798843,0.0,
67,0.05853856275588243,0.0,
68,0.09106020376220045,0.0,
69,0.09106020376220045,0.0,
70,0.05853856275588243,0.0,
71,0.06937910975798843,0.0,
72,0.09106069258156295,0.0,
73,0.08672437601684806,0.0,
74,0.05203457672817258,0.0,
75,0.045530346290781475,0.0,
76,0.06504328201263604,0.0,
77,0.06504328201263604,0.0,
78,0.03902587144370912,0.0,
79,0.045530346290781475,0.0,
80,0.04336218800842403,0.0,
81,0.03902587144370912,0.0,
82,0.07154751245002713,0.0,
83,0.03902587144370912,0.0,
84,0.03252139659663677,0.0,
85,0.034689554878994215,0.0,
86,0.06937943563756344,0.0,
87,0.03902587144370912,0.0,
88,0.03252139659663677,0.0,
89,0.06504303760295478,0.0,
90,0.03252139659663677,0.0,
91,0.03252139659663677,0.0,
92,0.06937943563756344,0.0,
93,0.03902587144370912,0.0,
94,0.03252139659663677,0.0,
95,0.058538807165563686,0.0,
96,0.06504303760295478,0.0,
97,0.03252139659663677,0.0,
98,0.03252139659663677,0.0,
99,0.03902587144370912,0.0,
100,0.034689554878994215,0.0,
101,0.03252139659663677,0.0,
102,0.06504303760295478,0.0,
103,0.03252139659663677,0.0,
104,0.03252139659663677,0.0,
105,0.034689554878994215,0.0,
106,0.03252139659663677,0.0,
107,0.09106069258156295,0.0,
108,0.06937943563756344,0.0,
109,0.07154751245002713,0.0,
110,0.03902587144370912,0.0,
111,0.03252139659663677,0.0,
112,0.058538807165563686,0.0,
113,0.058538807165563686,0.0,
114,0.03252139659663677,0.0,
115,0.03252139659663677,0.0,
116,0.08672437601684806,0.0,
117,0.05203457672817258,0.0,
118,0.045530346290781475,0.0,
119,0.06504328201263604,0.0,
120,0.06504328201263604,0.0,
121,0.03902587144370912,0.0,
122,0.045530346290781475,0.0,
123,0.04336218800842403,0.0,
124,0.03902587144370912,0.0,
125,0.07154751245002713,0.0,
126,0.03902587144370912,0.0,
127,0.03252139659663677,0.0,
128,0.034689554878994215,0.0,
129,0.06937943563756344,0.0,
130,0.03902587144370912,0.0,
131,0.03252139659663677,0.0,
132,0.06504303760295478,0.0,
133,0.03252139659663677,0.0,
134,0.03252139659663677,0.0,
135,0.06937943563756344,0.0,
136,0.03902587144370912,0.0,
137,0.03252139659663677,0.0,
138,0.058538807165563686,0.0,
139,0.06504303760295478,0.0,
140,0.03252139659663677,0.0,
141,0.03252139659663677,0.0,
142,0.03902587144370912,0.0,
143,0.034689554878994215,0.0,
144,0.03252139659663677,0.0,
145,0.06504303760295478,0.0,
146,0.03252139659663677,0.0,
147,0.03252139659663677,0.0,
148,0.034689554878994215,0.0,
149,0.03252139659663677,0.0,
150,0.09106069258156295,0.0,
151,0.04336218800842403,0.0,
152,0.03902587144370912,0.0,
153,0.07154751245002713,0.0,
154,0.03902587144370912,0.0,
155,0.03252139659663677,0.0,
156,0.034689554878994215,0.0,
157,0.07805174288741824,0.0,
158,0.045530101881100224,0.0,
159,0.03902587144370912,0.0,
160,0.058538807165563686,0.0,
161,0.03252139659663677,0.0,
162,0.03902587144370912,0.0,
163,0.03902587144370912,0.0,
164,0.034689554878994215,0.0,
165,0.03252139659663677,0.0,
166,0.06504303760295478,0.0,
167,0.03252139659663677,0.0,
168,0.03252139659663677,0.0,
169,0.034689554878994215,0.0,
170,0.03252139659663677,0.0,
171,0.09106069258156295,0.0,
172,0.04336218800842403,0.0,
173,0.03902587144370912,0.0,
174,0.07154751245002713,0.0,
175,0.03902587144370912,0.0,
176,0.03252139659663677,0.0,
177,0.034689554878994215,0.0,
178,0.06937943563756344,0.0,
179,0.03902587144370912,0.0,
180,0.03252139659663677,0.0,
181,0.06504303760295478,0.0,
182,0.03252139659663677,0.0,
183,0.03252139659663677,0.0,
184,0.07805174288741824,0.0,
185,0.045530101881100224,0.0,
186,0.03902587144370912,0.0,
187,0.058538807165563686,0.0,
188,0.03252139659663677,0.0,
189,0.03902587144370912,0.0,
190,0.03902587144370912,0.0,
191,0.034689554878994215,0.0,
192,0.03252139659663677,0.0,
193,0.06504303760295478,0.0,
194,0.03252139659663677,0.0,
195,0.03252139659663677,0.0,
196,0.034689554878994215,0.0,
197,0.03252139659663677,0.0,
198,0.04336186212884903,0.0,
199,0.03252139659663677,0.0,
200,0.03902562703402787,0.0,
201,0.052034332318491326,0.0,
202,0.034689554878994215,0.0,
203,0.04336186212884903,0.0,
204,0.03252139659663677,0.0,
205,0.052034332318491326,0.0,
206,0.034689554878994215,0.0,
207,0.04336186212884903,0.0,
208,0.03252139659663677,0.0,
209,0.03902562703402787,0.0,
210,0.04336186212884903,0.0,
211,0.03252139659663677,0.0,
212,0.03902562703402787,0.0,
213,0.04336186212884903,0.0,
214,0.03252139659663677,0.0,
215,0.03902562703402787,0.0,
216,0.052034332318491326,0.0,
217,0.034689554878994215,0.0,
218,0.04336186212884903,0.0,
219,0.03252139659663677,0.0,
220,0.05203482113785383,0.0,
221,0.03902562703402787,0.0,
222,0.04336186212884903,0.0,
223,0.03252139659663677,0.0,
224,0.03902562703402787,0.0,
225,0.04336186212884903,0.0,
226,0.03252139659663677,0.0,
227,0.03902562703402787,0.0,
228,0.03902562703402787,0.0,
229,0.03902562703402787,0.0,
230,0.04336186212884903,0.0,
231,0.03252139659663677,0.0,
232,0.03902562703402787,0.0,
233,0.052034332318491326,0.0,
234,0.034689554878994215,0.0,
235,0.04336186212884903,0.0,
236,0.03252139659663677,0.0,
237,0.03902562703402787,0.0,
238,0.03902562703402787,0.0,
239,0.05203433231849133,0.0,
240,0.04336186212884903,0.0,
241,0.03252139659663677,0.0,
242,0.03902562703402787,0.0,
243,0.052034332318491326,0.0,
244,0.034689554878994215,0.0,
245,0.03902562703402787,0.0,
246,0.04336186212884903,0.0,
247,0.03252139659663677,0.0,
248,0.03902562703402787,0.0,
249,0.04336186212884903,0.0,
250,0.03252139659663677,0.0,
251,0.03902562703402787,0.0,
252,0.05203433231849133,0.0,
253,0.05203433231849133,0.0,
254,0.06070680250813363,0.0,
255,0.045530101881100224,0.0,
256,0.05203433231849133,0.0,
257,0.052034332318491326,0.0,
258,0.034689554878994215,0.0,
259,0.04336186212884903,0.0,
260,0.03252139659663677,0.0,
261,0.034689554878994215,0.0,
262,0.03902587144370912,0.0,
263,0.026016921749564416,0.0,
264,0.026016921749564416,0.0,
265,0.026016921749564416,0.0,
266,0.034689554878994215,0.0,
267,0.026016921749564416,0.0,
268,0.03252139659663677,0.0,
269,0.026016921749564416,0.0,
270,0.026016921749564416,0.0,
271,0.026016921749564416,0.0,
272,0.05203482113785383,0.0,
273,0.05203482113785383,0.0,
274,0.03902587144370912,0.0,
275,0.026016921749564416,0.0,
276,0.052034332318491326,0.0,
277,0.034689554878994215,0.0,
278,0.034689554878994215,0.0,
279,0.026016921749564416,0.0,
280,0.03252139659663677,0.0,
281,0.034689554878994215,0.0,
282,0.026016921749564416,0.0,
283,0.03252139659663677,0.0,
284,0.03252139659663677,0.0,
285,0.034689554878994215,0.0,
286,0.026016921749564416,0.0,
287,0.026016921749564416,0.0,
288,0.026016921749564416,0.0,
289,0.03902587144370912,0.0,
290,0.026016921749564416,0.0,
291,0.026016921749564416,0.0,
292,0.026016921749564416,0.0,
293,0.026016921749564416,0.0,
294,0.03902587144370912,0.0,
295,0.026016921749564416,0.0,
296,0.026016921749564416,0.0,
297,0.026016921749564416,0.0,
298,0.026016921749564416,0.0,
